ENLIGHTEN Version,2.2.7
Measurement ID,,,20221123-154255-019000-WP-01113,20221123-154335-140732-WP-01113,20221123-154406-886962-WP-01113,20221123-154440-749966-WP-01113,20221123-154515-662271-WP-01113,20221123-154556-234314-WP-01113,20221123-154642-334996-WP-01113,20221123-154737-617711-WP-01113,20221123-154821-213552-WP-01113,20221123-154903-801204-WP-01113,20221123-154949-222131-WP-01113
Serial Number,,,WP-01113,WP-01113,WP-01113,WP-01113,WP-01113,WP-01113,WP-01113,WP-01113,WP-01113,WP-01113,WP-01113
Model,,,WPX-532-R-SR-IC,WPX-532-R-SR-IC,WPX-532-R-SR-IC,WPX-532-R-SR-IC,WPX-532-R-SR-IC,WPX-532-R-SR-IC,WPX-532-R-SR-IC,WPX-532-R-SR-IC,WPX-532-R-SR-IC,WPX-532-R-SR-IC,WPX-532-R-SR-IC
Label,,,Si 20 mW rm temp 20x obj vacuum,Si 30 mW rm temp 20x obj vacuum,Si 40 mW rm temp 20x obj vacuum,Si 50 mW rm temp 20x obj vacuum,Si 60 mW rm temp 20x obj vacuum,Si 70 mW rm temp 20x obj vacuum,Si 80 mW rm temp 20x obj vacuum,Si 90 mW rm temp 20x obj vacuum,Si 100 mW rm temp 20x obj vacuum,Si 110 mW rm temp 20x obj vacuum,Si 120 mW rm temp 20x obj vacuum
Declared Match,,,,,,,,,,,,,
Declared Score,,,0,0,0,0,0,0,0,0,0,0,0
Scan Averaging,,,1,1,1,1,1,1,1,1,1,1,1
Boxcar,,,1,1,1,1,1,1,1,1,1,1,1
Technique,,,Raman,Raman,Raman,Raman,Raman,Raman,Raman,Raman,Raman,Raman,Raman
Baseline Correction Algo,,,,,,,,,,,,,
ROI Pixel Start,,,133,133,133,133,133,133,133,133,133,133,133
ROI Pixel End,,,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023
Slit Width,,,15,15,15,15,15,15,15,15,15,15,15
Vignetted,,,False,False,False,False,False,False,False,False,False,False,False
